Le Parc	Julio
Le Sidaner	Henri
Le Sueur	Eustache
Lear	Edward
Lecouffe-Deharme	Bastien
Lee	Alan
Lee	Jim
Lee-Merrion	Harriet
Leech	Raymond
Leen	Nina
Lefler	Heinrich
Lega	Silvestro
Leger	Fernand
Legg	Jeff
Lehr	Paul
Leib	Chris
Leibovitz	Annie
Leighton	Edmund
Leighton	Frederick Lord
Lemire	Jeff
Levitan	Isaac
Leyendecker	J.C.
Lhote	André
Lichtenstein	Roy
Lieber	Steve
Liefeld	Rob
Liepke	Malcolm
Ligare	David
Lijun	Fang
Lilien	Ephraim Moses
Lindner	Richard
Lindsay	Norman
Lipking	Jeremy
Lippi	Filippino
Lipton	Laurie
Lisowski	Michal
List	Herbert
Listfield	Scott
Loboda	Taras
Loftis	Cory
Loir	Luigi
Lorusso	Joseph
Lossel	Yoann
Louie	Travis
Lovecraft	H.P.
Lovering	Paul
Lovett	Mark
Lucas	George
Luce	Maximilien
Luks	George
Lushpin	Evgeny
Lux	Loretta
Lynch	Albert
Lynch	David
Lyon	Danny
Maar	Dora
Mably	Brandon
Macara	Andrew
Macke	August
Mackintosh	Charles Rennie
Mackintosh	Margaret Macdonald
Maclean	Rachel
MacLeod	Pegi Nicol
Madgwick	Clive
Madgwick	Lee
Madureira	Joe
Maes	Nicolaes
Magee	Fintan
Magritte	Rene
Maher	Patty
Mahfood	Jim
Maier	Vivian
Maimon	Isaac
Maitz	Don
Major	Akos
Majorelle	Louis
Makabresku	Laura
Makovsky	Nikolay
Malczewski	Jacek
Maleev	Alex
Malevich	Kazimir
Mallett	Keith
Malm	Michael
Manara	Milo
Mandelbrot	Benoit B.
Manet	Édouard
Manguin	Henri
Mann	Jeremy
Mann	Sally
Mantegna	Andrea
Mapplethorpe	Robert
Marc	Franz
Marcoussis	Louis
Marden	Brice
Mark	Mary Ellen
Markin	Andrei
Marquet	Albert
Mars	Chris
Marseus van Schrieck	Otto
Marsh	Reginald
Marshall	Kerry James
Marshennikov	Serge
Marsone	Meredith
Martin	Agnes
Martin	John
Martinakis	Adam
Martinière	Stephan
Mashburn	Brian
Masson	André
Matisse	Henri
Matsumoto	Leiji
Matsumoto	Taiyō
Matta	Roberto
Matthews	Rodney
Mattingly	David B.
Matutina	Dan
Max	Peter
Mayhew	Mike
Mazzoni	Marco
McCaffrey	Anne
McCall	Robert
McFarlane	Todd
McGinley	Ryan
McGinnis	Robert
McGuire	Richard
McKean	Dave
McKelvie	Jamie
McKernan	Kelly
McKie	Angus
McMaster	Meryl
McPharlin	Dan
McPherson	Tara
McQuarrie	Ralph
McQue	Ian
Mead	Syd
Medcalf	Bill
Meireles	Cildo
Mell	Ed
Mendoza	Eddie
Menzel	Adolph
Merian	Maria Sibylla
Merlo	Monia
Merriam	Daniel
Metcalf	Willard
Metzinger	Jean
Meyerdierks	Carsten
Michelangelo	N/A
Mignard	Nicolas
Mignola	Mike
Mili	Gjon
Millen	Anja
Miller	Frank
Miller	Ian
Miller	Marjorie
Millet	Jean-François
Milligan	Peter
Mills	Russ
Miró	Joan
Mirza	Haroon
Mistric	Trish
Miura	Kentaro
Miyazaki	Hayao
Modersohn-Becker	Paula
Modigliani	Amedeo
Modlin	Margaret
Moebius	N/A
Moholy-Nagy	László
Mohrbacher	Peter
Mondrian	Piet
Monet	Claude
Monge	Jean-Baptiste
Monkman	Kent
Monks	Alyssa
Moon	Sailor
Moore	Alan
Moore	Albert Joseph
Moore	Chris
Moore	Henry
Moore	Tony
Mora	Briana
Moralis	Yiannis
Moran	Thomas
Moreau	Gustave
Moret	Henry
Morgan	Gwenda
Moriyama	Daido
Moross	Aries
Morrice	James Wilson
Morris	Desmond
Morris	William
Morski	Igor
Mortensen	John Kenn
Moscoso	Victor
Moses	Grandma
Mosina	Inna
Motherwell	Robert
Moureaux	Emmanuelle
Mucha	Alphonse
Mueck	Ron
Mullins	Craig
Mulready	Augustus Edwin
Mumford	Dan
Munari	Bruno
Munch	Edvard
Munnings	Alfred
Munro	Bruce
Münter	Gabriele
Munthe	Gerhard
Murakami	Takashi
Muray	Nickolas
Murciano	Patrice
Murillo	Bartolomé Esteban
Musin	Sergey
Muth	Jon J
Mutu	Wangechi
Muybridge	Eadweard
Nagai	Go
Nagai	Hiroshi
Nagao	Yoh
Nagel	Patrick
Nagy	Tibor
Naismith	Scott
Najjar	Serge
Nan	Juliana
Nares	James
Nash	Paul
Nasmith	Ted
Nason	Pieter
Nast	Thomas
Nauck	Todd
Nauman	Bruce
Nay	Ernst Wilhelm
Neel	Alice
Neer	Ildiko
Neffati	Rimel
Negley	Keith
Neiman	LeRoy
Nelson	Kadir
Nelson	R. Kenton
Nerdrum	Odd
Neshat	Shirin
Nesterov	Mikhail
Neto	Ernesto
Nevinson	C. R. W.
Newland	Jane
Newman	Barnett
Newton	Helmut
Ngai	Victo
Nguyen	Dustin
Nguyen	Tran
Nicholson	Ben
Nicholson	William
Nickerson	Dee
Nicolle	Florian
Nielsen	Kay
Niemeyer	Oscar
Nihei	Tsutomu
Nilsson	Bertil
Nirasawa	Yasushi
Nizovtsev	Victor
Noguchi	Isamu
Nolan	Sidney
Noland	Kenneth
Nolde	Emil
Nolin	Catherine
Nomura	Tetsuya
Nordahl	David
Nordqvist	Sven
Norem	Earl
North	Marianne
Norton	Andre
Noto	Phil
Nouvel	Jean
O'Keeffe	Georgia
O'Neill	Terry
Oakes	Terry
Obata	Takeshi
Ocampo	Octavio
Oda	Eiichiro
Ofili	Chris
Ohara	Koson
Ohman	Jack
Ohrai	Noriyoshi
Oiticica	Helio
Ojala	Eiko
Okamura	Tim
Okanoue	Toshiko
Okon	Marek
Okubo	Naomi
Okuń	Edward
Oldenburg	Claes
Olgiati	Valerio
Olley	Margaret
Olschinsky	Atelier
Olsen	Greg
Opie	Julian
Oppenheim	Méret
Oprisco	Oleg
Orkin	Ruth
Ormandy	Stephen
Orozco	José Clemente
Orrico	Tony
Osbert	Alphonse
OSGEMEOS	N/A
Oshii	Mamoru
